Name,Value,Pick,Position
1.01,81,Yes,N/A
1.02,65,Yes,N/A
1.03,63,Yes,N/A
1.04,59,Yes,N/A
1.05,53,Yes,N/A
1.06,50,Yes,N/A
1.07,46,Yes,N/A
1.08,45,Yes,N/A
1.09,44,Yes,N/A
1.1,43,Yes,N/A
1.11,43,Yes,N/A
1.12,41,Yes,N/A
2.01,41,Yes,N/A
2.02,40,Yes,N/A
2.03,39,Yes,N/A
2.04,39,Yes,N/A
2.05,39,Yes,N/A
2.06,37,Yes,N/A
2.07,37,Yes,N/A
2.08,37,Yes,N/A
2.09,36,Yes,N/A
2.1,35,Yes,N/A
2.11,35,Yes,N/A
2.12,30,Yes,N/A
3.01,29,Yes,N/A
3.02,29,Yes,N/A
3.03,28,Yes,N/A
3.04,24,Yes,N/A
3.05,22,Yes,N/A
3.06,22,Yes,N/A
3.07,21,Yes,N/A
3.08,21,Yes,N/A
3.09,21,Yes,N/A
3.1,20,Yes,N/A
3.11,16,Yes,N/A
3.12,16,Yes,N/A
Josh Allen,100,No,QB
Jalen Hurts,100,No,QB
Patrick Mahomes,94,No,QB
Justin Herbert,90,No,QB
Trevor Lawrence,88,No,QB
Tua Tagovailoa,80,No,QB
Joe Burrow,80,No,QB
Lamar Jackson,76,No,QB
Justin Fields,70,No,QB
Kyler Murray,66,No,QB
Anthony Richardson,65,No,QB
C.J. Stroud,63,No,QB
Brock Purdy,53,No,QB
Bryce Young,53,No,QB
Dak Prescott,52,No,QB
Deshaun Watson,52,No,QB
Jared Goff,50,No,QB
Jordan Love,44,No,QB
Geno Smith,44,No,QB
Daniel Jones,43,No,QB
Kenny Pickett,40,No,QB
Kirk Cousins,40,No,QB
Derek Carr,39,No,QB
Sam Howell,38,No,QB
Russell Wilson,37,No,QB
Matthew Stafford,36,No,QB
Mac Jones,35,No,QB
Baker Mayfield,35,No,QB
Desmond Ridder,32,No,QB
Jimmy Garoppolo,30,No,QB
Ryan Tannehill,28,No,QB
Joshua Dobbs,24,No,QB
Will Levis,21,No,QB
Zach Wilson,16,No,QB
Sam Darnold,9,No,QB
Hendon Hooker,8,No,QB
Trey Lance,7,No,QB
Malik Cunningham,5,No,QB
Aidan O'Connell,5,No,QB
Tyson Bagent,4,No,QB
Tyler Huntley,3,No,QB
Gardner Minshew,3,No,QB
Kyle Trask,2,No,QB
Malik Willis,2,No,QB
Jarrett Stidham,1,No,QB
Bijan Robinson,81,No,RB
Breece Hall,75,No,RB
Jonathan Taylor,64,No,RB
Christian McCaffrey,61,No,RB
Jahmyr Gibbs,59,No,RB
Travis Etienne,59,No,RB
Josh Jacobs,58,No,RB
Kenneth Walker III,58,No,RB
Austin Ekeler,57,No,RB
Tony Pollard,56,No,RB
Saquon Barkley,53,No,RB
Javonte Williams,43,No,RB
De'Von Achane,43,No,RB
James Cook,41,No,RB
Tyjae Spears,40,No,RB
Derrick Henry,40,No,RB
D'Andre Swift,40,No,RB
David Montgomery,39,No,RB
Joe Mixon,39,No,RB
Rhamondre Stevenson,39,No,RB
Isiah Pacheco,38,No,RB
Brian Robinson Jr.,38,No,RB
Dameon Pierce,38,No,RB
Najee Harris,37,No,RB
Alvin Kamara,37,No,RB
Zach Charbonnet,37,No,RB
Roschon Johnson,37,No,RB
Kendre Miller,36,No,RB
Aaron Jones,36,No,RB
Miles Sanders,35,No,RB
Alexander Mattison,35,No,RB
Kyren Williams,34,No,RB
Rachaad White,32,No,RB
Jerome Ford,31,No,RB
James Conner,30,No,RB
Jaylen Warren,29,No,RB
Tyler Allgeier,29,No,RB
Cam Akers,28,No,RB
Chuba Hubbard,26,No,RB
Kenneth Gainwell,25,No,RB
Khalil Herbert,25,No,RB
Tank Bigsby,24,No,RB
Zack Moss,23,No,RB
Justice Hill,23,No,RB
J.K. Dobbins,22,No,RB
Jaleel McLaughlin,21,No,RB
Devin Singletary,21,No,RB
A.J. Dillon,21,No,RB
Raheem Mostert,21,No,RB
Jeff Wilson Jr.,20,No,RB
Gus Edwards,20,No,RB
Jamaal Williams,18,No,RB
Dalvin Cook,18,No,RB
Nick Chubb,17,No,RB
Clyde Edwards-Helaire,17,No,RB
Elijah Mitchell,17,No,RB
Sean Tucker,16,No,RB
Antonio Gibson,16,No,RB
Kareem Hunt,15,No,RB
Samaje Perine,15,No,RB
Michael Carter,15,No,RB
Jordan Mason,14,No,RB
Chris Rodriguez,14,No,RB
Ezekiel Elliott,14,No,RB
Chase Brown,14,No,RB
Joshua Kelley,13,No,RB
Zach Evans,13,No,RB
Keaton Mitchell,12,No,RB
Salvon Ahmed,12,No,RB
Evan Hull,12,No,RB
Eric Gray,11,No,RB
Zamir White,11,No,RB
Craig Reynolds,11,No,RB
Rico Dowdle,11,No,RB
Israel Abanikanda,11,No,RB
Pierre Strong Jr.,10,No,RB
Emari Demercado,10,No,RB
Isaiah Spiller,10,No,RB
Keaontay Ingram,10,No,RB
Deuce Vaughn,10,No,RB
