"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"QB1","10","28","5 out of 5 stars","-"
"2",1,"Justin Jefferson",MIN,"WR1","13","24","3 out of 5 stars","-"
"3",1,"Jalen Hurts",PHI,"QB2","10","25","2 out of 5 stars","-"
"4",1,"Ja'Marr Chase",CIN,"WR2","7","23","3 out of 5 stars","-"
"5",1,"Josh Allen",BUF,"QB3","13","27","4 out of 5 stars","-"
"6",2,"Bijan Robinson",ATL,"RB1","11","21","4 out of 5 stars","-"
"7",2,"Joe Burrow",CIN,"QB4","7","26","2 out of 5 stars","-"
"8",2,"Justin Herbert",LAC,"QB5","5","25","4 out of 5 stars","-"
"9",2,"CeeDee Lamb",DAL,"WR3","7","24","3 out of 5 stars","-"
"10",2,"Garrett Wilson",NYJ,"WR4","7","23","4 out of 5 stars","-"
"11",2,"Amon-Ra St. Brown",DET,"WR5","9","24","3 out of 5 stars","-"
"12",3,"A.J. Brown",PHI,"WR6","10","26","3 out of 5 stars","-"
"13",3,"Breece Hall",NYJ,"RB2","7","22","4 out of 5 stars","-"
"14",3,"Jaylen Waddle",MIA,"WR7","10","24","3 out of 5 stars","-"
"15",3,"Christian McCaffrey",SF,"RB3","9","27","2 out of 5 stars","-"
"16",3,"Trevor Lawrence",JAC,"QB6","9","24","0 out of 5 stars","-"
"17",3,"Chris Olave",NO,"WR8","11","23","3 out of 5 stars","-"
"18",3,"Lamar Jackson",BAL,"QB7","13","26","4 out of 5 stars","-"
"19",3,"Jonathan Taylor",IND,"RB4","11","24","4 out of 5 stars","-"
"20",4,"Tyreek Hill",MIA,"WR9","10","29","3 out of 5 stars","-"
"21",4,"Anthony Richardson",IND,"QB8","11","21","2 out of 5 stars","-"
"22",4,"DeVonta Smith",PHI,"WR10","10","24","3 out of 5 stars","-"
"23",4,"Drake London",ATL,"WR11","11","22","4 out of 5 stars","-"
"24",4,"Tua Tagovailoa",MIA,"QB9","10","25","3 out of 5 stars","-"
"25",4,"Stefon Diggs",BUF,"WR12","13","29","2 out of 5 stars","-"
"26",4,"Jahmyr Gibbs",DET,"RB5","9","21","4 out of 5 stars","-"
"27",4,"Kenneth Walker III",SEA,"RB6","5","23","1 out of 5 stars","-"
"28",4,"Saquon Barkley",NYG,"RB7","13","26","3 out of 5 stars","-"
"29",4,"Kyle Pitts",ATL,"TE1","11","23","3 out of 5 stars","-"
"30",4,"Travis Etienne Jr.",JAC,"RB8","9","24","4 out of 5 stars","-"
"31",5,"Tony Pollard",DAL,"RB9","7","26","2 out of 5 stars","-"
